Kevin DE BRUYNE soccer player profile - Soccer Manager;;M,AM(C);;;;;;;;;;;;;;;;;;;;;;;;;
;Rúben DIAS soccer player profile - Soccer Manager;1;Atlanta United;Divisão 1;19 (0);0;0;0;7.00;1;0;D(C);Trent ALEXANDER-ARNOLD soccer player profile - Soccer Manager;;D(R),DM,M(RC);;;;;;;;;;;;
;Trent ALEXANDER-ARNOLD soccer player profile - Soccer Manager;11;England;SMFA World Cup;3 (0);0;0;0;7.00;0;0;D(R),DM,M(RC);;;;;;;;;;;;;;;
;Trent ALEXANDER-ARNOLD soccer player profile - Soccer Manager;11;England;SMFA World Cup Qualifiers;8 (0);0;0;0;7.25;0;0;D(R),DM,M(RC);;;;;;;;;;;;;;;
;Trent ALEXANDER-ARNOLD soccer player profile - Soccer Manager;11;England;SMFA World Cup;2 (0);0;0;0;7.00;1;0;D(R),DM,M(RC);;;;;;;;;;;;;;;
;Trent ALEXANDER-ARNOLD soccer player profile - Soccer Manager;;D(R),DM,M(RC);;;;;;;;;;;;;;;;;;;;;;;;
;Trent ALEXANDER-ARNOLD soccer player profile - Soccer Manager;England;International;126 (0);6;7;3;7.30;10;1;D(R),DM,M(RC);;;;;;;;;;;;;;;;
;Trent ALEXANDER-ARNOLD soccer player profile - Soccer Manager;;D(R),DM,M(RC);Karim BENZEMA soccer player profile - Soccer Manager;;F(C);;;;;;;;;;;;;;;;;;;;;
;Karim BENZEMA soccer player profile - Soccer Manager;11;France;SMFA World Cup;4 (0);0;3;1;8.00;0;0;F(C);;;;;;;;;;;;;;;
;Karim BENZEMA soccer player profile - Soccer Manager;11;France;SMFA World Cup Qualifiers;8 (0);2;5;0;8.88;2;0;F(C);;;;;;;;;;;;;;;
;Karim BENZEMA soccer player profile - Soccer Manager;11;France;SMFA World Cup;2 (0);0;1;0;7.50;0;0;F(C);;;;;;;;;;;;;;;
;Karim BENZEMA soccer player profile - Soccer Manager;;F(C);;;;;;;;;;;;;;;;;;;;;;;;
;Karim BENZEMA soccer player profile - Soccer Manager;France;International;136 (0);78;67;42;8.49;21;3;F(C);;;;;;;;;;;;;;;;
;Karim BENZEMA soccer player profile - Soccer Manager;;F(C);Luka MODRIĆ soccer player profile - Soccer Manager;;M,AM(C);;;;;;;;;;;;;;;;;;;;;
;Luka MODRIĆ soccer player profile - Soccer Manager;11;Croatia;SMFA World Cup;5 (0);1;2;3;7.60;0;0;M,AM(C);;;;;;;;;;;;;;;
;Luka MODRIĆ soccer player profile - Soccer Manager;11;Croatia;SMFA World Cup Qualifiers;8 (0);2;2;1;8.00;0;0;M,AM(C);;;;;;;;;;;;;;;
;Luka MODRIĆ soccer player profile - Soccer Manager;11;Croatia;SMFA World Cup;2 (0);0;0;0;7.00;0;0;M,AM(C);;;;;;;;;;;;;;;
;Luka MODRIĆ soccer player profile - Soccer Manager;;M,AM(C);;;;;;;;;;;;;;;;;;;;;;;;
;Luka MODRIĆ soccer player profile - Soccer Manager;Croatia;International;106 (0);17;29;9;7.48;4;1;M,AM(C);;;;;;;;;;;;;;;;
;Luka MODRIĆ soccer player profile - Soccer Manager;;M,AM(C);Manuel NEUER soccer player profile - Soccer Manager;;GK;;;;;;;;;;;;;;;;;;;;;
;Manuel NEUER soccer player profile - Soccer Manager;Germany;International;73 (0);0;0;0;6.04;0;0;GK;;;;;;;;;;;;;;;;
;Manuel NEUER soccer player profile - Soccer Manager;;GK;Toni KROOS soccer player profile - Soccer Manager;;DM,M(C);;;;;;;;;;;;;;;;;;;;;
;Toni KROOS soccer player profile - Soccer Manager;11;Germany;SMFA World Cup;7 (0);0;0;0;7.00;0;1;DM,M(C);;;;;;;;;;;;;;;
;Toni KROOS soccer player profile - Soccer Manager;11;Germany;SMFA World Cup Qualifiers;8 (0);3;1;1;8.00;1;0;DM,M(C);;;;;;;;;;;;;;;
;Toni KROOS soccer player profile - Soccer Manager;11;Germany;SMFA World Cup;2 (0);1;0;0;7.00;0;0;DM,M(C);;;;;;;;;;;;;;;
;Toni KROOS soccer player profile - Soccer Manager;;DM,M(C);;;;;;;;;;;;;;;;;;;;;;;;
;Toni KROOS soccer player profile - Soccer Manager;Germany;International;127 (1);23;12;8;7.45;11;2;DM,M(C);;;;;;;;;;;;;;;;
;Toni KROOS soccer player profile - Soccer Manager;;DM,M(C);Ilkay GÜNDOĞAN soccer player profile - Soccer Manager;;DM,M,AM(C);;;;;;;;;;;;;;;;;;;;;
;Ilkay GÜNDOĞAN soccer player profile - Soccer Manager;11;Germany;SMFA World Cup;7 (0);1;0;0;7.14;0;0;DM,M,AM(C);;;;;;;;;;;;;;;
;Ilkay GÜNDOĞAN soccer player profile - Soccer Manager;11;Germany;SMFA World Cup Qualifiers;8 (0);0;0;0;7.62;0;0;DM,M,AM(C);;;;;;;;;;;;;;;
;Ilkay GÜNDOĞAN soccer player profile - Soccer Manager;11;Germany;SMFA World Cup;2 (0);0;0;0;7.00;0;0;DM,M,AM(C);;;;;;;;;;;;;;;
;Ilkay GÜNDOĞAN soccer player profile - Soccer Manager;;DM,M,AM(C);;;;;;;;;;;;;;;;;;;;;;;;
;Ilkay GÜNDOĞAN soccer player profile - Soccer Manager;Germany;International;129 (0);35;26;12;7.53;9;0;DM,M,AM(C);;;;;;;;;;;;;;;;
;Ilkay GÜNDOĞAN soccer player profile - Soccer Manager;;DM,M,AM(C);Júnior NEYMAR soccer player profile - Soccer Manager;;AM,F(LC);;;;;;;;;;;;;;;;;;;;;
;Júnior NEYMAR soccer player profile - Soccer Manager;11;Brazil;SMFA World Cup;5 (0);1;2;1;8.00;0;0;AM,F(LC);;;;;;;;;;;;;;;
;Júnior NEYMAR soccer player profile - Soccer Manager;11;Brazil;SMFA World Cup Qualifiers;8 (0);8;3;2;8.88;1;0;AM,F(LC);;;;;;;;;;;;;;;
;Júnior NEYMAR soccer player profile - Soccer Manager;11;Brazil;SMFA World Cup;2 (0);0;0;0;7.00;0;0;AM,F(LC);;;;;;;;;;;;;;;
;Júnior NEYMAR soccer player profile - Soccer Manager;;AM,F(LC);;;;;;;;;;;;;;;;;;;;;;;;
;Júnior NEYMAR soccer player profile - Soccer Manager;Brazil;International;134 (0);83;59;55;8.60;10;0;AM,F(LC);;;;;;;;;;;;;;;;
;Júnior NEYMAR soccer player profile - Soccer Manager;;AM,F(LC);Antoine GRIEZMANN soccer player profile - Soccer Manager;;AM,F(RLC);;;;;;;;;;;;;;;;;;;;;
;Antoine GRIEZMANN soccer player profile - Soccer Manager;11;France;SMFA World Cup Qualifiers;3 (0);1;2;0;8.33;1;0;AM,F(RLC);;;;;;;;;;;;;;;
;Antoine GRIEZMANN soccer player profile - Soccer Manager;;AM,F(RLC);;;;;;;;;;;;;;;;;;;;;;;;
;Antoine GRIEZMANN soccer player profile - Soccer Manager;France;International;80 (0);24;17;8;7.65;14;2;AM,F(RLC);;;;;;;;;;;;;;;;
;Antoine GRIEZMANN soccer player profile - Soccer Manager;;AM,F(RLC);;;;;;;;;;;;;;;;;;;;;;;;
;Antoine GRIEZMANN soccer player profile - Soccer Manager;9;River Plate;Divisão 1;20 (1);9;1;5;7.38;2;0;AM,F(RLC);;;;;;;;;;;;;;;
;Antoine GRIEZMANN soccer player profile - Soccer Manager;8;River Plate;Divisão 1;21 (1);7;5;5;7.32;5;0;AM,F(RLC);David ALABA soccer player profile - Soccer Manager;;D,DM,M(LC);;;;;;;;;;;;
;David ALABA soccer player profile - Soccer Manager;11;Austria;SMFA World Cup;3 (0);0;1;1;7.67;0;0;D,DM,M(LC);;;;;;;;;;;;;;;
;David ALABA soccer player profile - Soccer Manager;11;Austria;SMFA World Cup Qualifiers;8 (0);1;2;1;7.88;0;0;D,DM,M(LC);;;;;;;;;;;;;;;
;David ALABA soccer player profile - Soccer Manager;11;Austria;SMFA World Cup;2 (0);0;0;0;6.50;0;0;D,DM,M(LC);;;;;;;;;;;;;;;
;David ALABA soccer player profile - Soccer Manager;;D,DM,M(LC);;;;;;;;;;;;;;;;;;;;;;;;
;David ALABA soccer player profile - Soccer Manager;Austria;International;102 (0);30;15;21;7.47;7;1;D,DM,M(LC);;;;;;;;;;;;;;;;
;David ALABA soccer player profile - Soccer Manager;;D,DM,M(LC);Heung-Min SON soccer player profile - Soccer Manager;;AM(RL),F(RLC);;;;;;;;;;;;;;;;;;;;;
;Heung-Min SON soccer player profile - Soccer Manager;11;Korea Republic;SMFA World Cup Qualifiers;8 (0);2;2;1;7.75;1;0;AM(RL),F(RLC);;;;;;;;;;;;;;;
;Heung-Min SON soccer player profile - Soccer Manager;;AM(RL),F(RLC);;;;;;;;;;;;;;;;;;;;;;;;
;Heung-Min SON soccer player profile - Soccer Manager;Korea Republic;International;90 (0);24;16;22;7.86;8;3;AM(RL),F(RLC);;;;;;;;;;;;;;;;
;Heung-Min SON soccer player profile - Soccer Manager;;AM(RL),F(RLC);Marc-André TER STEGEN soccer player profile - Soccer Manager;;GK;;;;;;;;;;;;;;;;;;;;;
;Marc-André TER STEGEN soccer player profile - Soccer Manager;11;Germany;SMFA World Cup;7 (0);0;0;0;6.14;0;0;GK;;;;;;;;;;;;;;;
;Marc-André TER STEGEN soccer player profile - Soccer Manager;11;Germany;SMFA World Cup Qualifiers;8 (0);0;0;0;6.38;0;0;GK;;;;;;;;;;;;;;;
;Marc-André TER STEGEN soccer player profile - Soccer Manager;11;Germany;SMFA World Cup;2 (0);0;0;0;6.50;0;0;GK;;;;;;;;;;;;;;;
;Marc-André TER STEGEN soccer player profile - Soccer Manager;;GK;;;;;;;;;;;;;;;;;;;;;;;;
;Marc-André TER STEGEN soccer player profile - Soccer Manager;Germany;International;68 (0);0;0;0;6.04;0;0;GK;;;;;;;;;;;;;;;;
;Marc-André TER STEGEN soccer player profile - Soccer Manager;;GK;Virgil VAN DIJK soccer player profile - Soccer Manager;;D(C);;;;;;;;;;;;;;;;;;;;;
;Virgil VAN DIJK soccer player profile - Soccer Manager;11;Netherlands;SMFA World Cup;7 (0);1;2;2;7.57;0;0;D(C);;;;;;;;;;;;;;;
;Virgil VAN DIJK soccer player profile - Soccer Manager;11;Netherlands;SMFA World Cup Qualifiers;8 (0);1;2;1;8.38;1;0;D(C);;;;;;;;;;;;;;;
;Virgil VAN DIJK soccer player profile - Soccer Manager;11;Netherlands;SMFA World Cup;2 (0);1;0;0;7.50;0;0;D(C);;;;;;;;;;;;;;;
;Virgil VAN DIJK soccer player profile - Soccer Manager;;D(C);;;;;;;;;;;;;;;;;;;;;;;;
;Virgil VAN DIJK soccer player profile - Soccer Manager;Netherlands;International;121 (0);8;11;30;8.07;10;0;D(C);;;;;;;;;;;;;;;;
;Virgil VAN DIJK soccer player profile - Soccer Manager;;D(C);Corrêa MARQUINHOS soccer player profile - Soccer Manager;;D(C);;;;;;;;;;;;;;;;;;;;;
;Corrêa MARQUINHOS soccer player profile - Soccer Manager;11;Brazil;SMFA World Cup;3 (0);0;0;0;6.67;1;0;D(C);;;;;;;;;;;;;;;
;Corrêa MARQUINHOS soccer player profile - Soccer Manager;11;Brazil;SMFA World Cup Qualifiers;8 (0);1;1;0;7.62;1;0;D(C);;;;;;;;;;;;;;;
;Corrêa MARQUINHOS soccer player profile - Soccer Manager;;D(C);;;;;;;;;;;;;;;;;;;;;;;;
;Corrêa MARQUINHOS soccer player profile - Soccer Manager;Brazil;International;126 (0);21;16;5;7.10;19;2;D(C);;;;;;;;;;;;;;;;
;Corrêa MARQUINHOS soccer player profile - Soccer Manager;;D(C);Moraes EDERSON soccer player profile - Soccer Manager;;GK;;;;;;;;;;;;;;;;;;;;;
;Moraes EDERSON soccer player profile - Soccer Manager;11;Brazil;SMFA World Cup;2 (0);0;0;1;7.50;0;0;GK;;;;;;;;;;;;;;;
;Moraes EDERSON soccer player profile - Soccer Manager;11;Brazil;SMFA World Cup Qualifiers;4 (0);0;0;0;6.75;0;0;GK;;;;;;;;;;;;;;;
;Moraes EDERSON soccer player profile - Soccer Manager;;GK;;;;;;;;;;;;;;;;;;;;;;;;
;Moraes EDERSON soccer player profile - Soccer Manager;Brazil;International;16 (0);0;0;2;6.56;0;0;GK;;;;;;;;;;;;;;;;
;Moraes EDERSON soccer player profile - Soccer Manager;;GK;Bruno FERNANDES soccer player profile - Soccer Manager;;M(C),AM(RC);;;;;;;;;;;;;;;;;;;;;
;Bruno FERNANDES soccer player profile - Soccer Manager;11;Portugal;SMFA World Cup;6 (0);0;2;0;7.33;0;0;M(C),AM(RC);;;;;;;;;;;;;;;
;Bruno FERNANDES soccer player profile - Soccer Manager;11;Portugal;SMFA World Cup Qualifiers;8 (0);1;3;1;8.25;1;0;M(C),AM(RC);;;;;;;;;;;;;;;
;Bruno FERNANDES soccer player profile - Soccer Manager;11;Portugal;SMFA World Cup;2 (0);1;1;0;8.00;1;0;M(C),AM(RC);;;;;;;;;;;;;;;
;Bruno FERNANDES soccer player profile - Soccer Manager;;M(C),AM(RC);;;;;;;;;;;;;;;;;;;;;;;;
;Bruno FERNANDES soccer player profile - Soccer Manager;Portugal;International;138 (0);38;45;11;7.82;11;0;M(C),AM(RC);;;;;;;;;;;;;;;;
;Bruno FERNANDES soccer player profile - Soccer Manager;;M(C),AM(RC);Bernardo SILVA soccer player profile - Soccer Manager;;M,AM(RC);;;;;;;;;;;;;;;;;;;;;
;Bernardo SILVA soccer player profile - Soccer Manager;11;Portugal;SMFA World Cup Qualifiers;8 (0);1;4;1;8.25;0;0;M,AM(RC);;;;;;;;;;;;;;;
;Bernardo SILVA soccer player profile - Soccer Manager;11;Portugal;SMFA World Cup;2 (0);1;0;0;7.50;0;0;M,AM(RC);;;;;;;;;;;;;;;
;Bernardo SILVA soccer player profile - Soccer Manager;;M,AM(RC);;;;;;;;;;;;;;;;;;;;;;;;
;Bernardo SILVA soccer player profile - Soccer Manager;Portugal;International;93 (0);19;16;7;7.71;8;3;M,AM(RC);;;;;;;;;;;;;;;;
;Bernardo SILVA soccer player profile - Soccer Manager;;M,AM(RC);Joshua KIMMICH soccer player profile - Soccer Manager;;D(R),DM,M(RC);;;;;;;;;;;;;;;;;;;;;
;Joshua KIMMICH soccer player profile - Soccer Manager;11;Germany;SMFA World Cup;7 (0);0;0;0;7.00;1;0;D(R),DM,M(RC);;;;;;;;;;;;;;;
;Joshua KIMMICH soccer player profile - Soccer Manager;11;Germany;SMFA World Cup Qualifiers;8 (0);0;0;0;7.38;0;0;D(R),DM,M(RC);;;;;;;;;;;;;;;
;Joshua KIMMICH soccer player profile - Soccer Manager;11;Germany;SMFA World Cup;2 (0);0;0;0;7.00;0;1;D(R),DM,M(RC);;;;;;;;;;;;;;;
;Joshua KIMMICH soccer player profile - Soccer Manager;;D(R),DM,M(RC);;;;;;;;;;;;;;;;;;;;;;;;
;Joshua KIMMICH soccer player profile - Soccer Manager;Germany;International;129 (0);35;47;20;7.88;13;3;D(R),DM,M(RC);;;;;;;;;;;;;;;;
;Joshua KIMMICH soccer player profile - Soccer Manager;;D(R),DM,M(RC);Cristiano RONALDO soccer player profile - Soccer Manager;;F(C);;;;;;;;;;;;;;;;;;;;;
;Cristiano RONALDO soccer player profile - Soccer Manager;11;Portugal;SMFA World Cup;6 (0);4;1;1;7.83;0;0;F(C);;;;;;;;;;;;;;;
;Cristiano RONALDO soccer player profile - Soccer Manager;11;Portugal;SMFA World Cup Qualifiers;8 (0);9;3;1;8.62;0;0;F(C);;;;;;;;;;;;;;;
